,Address,Coordinates
0,"5500  VALERIO TRAIL, SAN DIEGO","(32.962449400000004, -117.2014782)"
1,"6400  CRAWFORD STREET, SAN DIEGO","(32.7898003, -117.0938746)"
2,"8300  CAM DEL ORO , SAN DIEGO","(32.8568988, -117.2568618)"
3,"8100  ROYAL GORGE DRIVE, SAN DIEGO","(32.8147757, -117.0512292)"
4,"1000  11TH AVENUE, SAN DIEGO","(32.7157761, -117.15471770000002)"
5,"1000  A STREET, SAN DIEGO","(32.718876300000005, -117.155663)"
6,"2600  RAMFOS PLACE, SAN DIEGO","(32.679995299999995, -117.04250259999998)"
7,"3900  DE LA VALLE , SAN DIEGO","(32.9832079, -117.2267559)"
8,"9100  SYDNEY COURT, SAN DIEGO","(32.8729365, -117.2021869)"
9,"1600  HORNBLEND STREET, SAN DIEGO","(32.798875, -117.240545)"
10,"900  EMERALD STREET, SAN DIEGO","(32.7988409, -117.2542045)"
11,"0  IMPERIAL AVENUE, SAN DIEGO","(32.7041969, -117.09828290000002)"
12,"2900  LAUREL STREET, SAN DIEGO","(32.731826, -117.1315594)"
13,"10000  BLACK MTN ROAD, SAN DIEGO","(32.9011578, -117.1239432)"
14,"5800  UNIVERSITY AVENUE, SAN DIEGO","(32.7492955, -117.0729412)"
15,"6900  MIRAMAR ROAD, SAN DIEGO","(32.8786463, -117.1680155)"
16,"2500  INGRAHAM STREET, SAN DIEGO","(32.765978999999994, -117.2333201)"
17,"2400 W MISSION BAY DRIVE, SAN DIEGO","(32.7596683, -117.2272997)"
18,"2800  EL CAJON BOULEVARD, SAN DIEGO","(32.7557356, -117.1337374)"
19,"3200  ASHFORD STREET, SAN DIEGO","(32.8019562, -117.1594273)"
20,"1100  GARNET AVENUE, SAN DIEGO","(32.7977588, -117.2500049)"
21,"4300  EL CAJON BOULEVARD, SAN DIEGO","(32.7554072, -117.1011965)"
22,"2800  IMPERIAL AVENUE, SAN DIEGO","(32.7066021, -117.1338419)"
23,"5100  MISSION CENTER ROAD, SAN DIEGO","(32.7682106, -117.1539886)"
24,"10400  SAN DIEGO MISSION ROAD, SAN DIEGO","(32.7857348, -117.1111312)"
25,"3700  SPORTS ARENA BOULEVARD, SAN DIEGO","(32.7549845, -117.2148017)"
26,"100  WASHINGTON STREET, SAN DIEGO","(32.7499659, -117.1639106)"
27,"5800  EL CAJON BOULEVARD, SAN DIEGO","(32.758807, -117.07263229999998)"
28,"700  08TH AVENUE, SAN DIEGO","(32.715738, -117.1610838)"
29,"3400  COLLEGE AVENUE, SAN DIEGO","(32.7422586, -117.0516876)"
30,"1700  39TH STREET, SAN DIEGO","(32.7231467, -117.1093207)"
31,"5600  COLLEGE AVENUE, SAN DIEGO","(32.780685600000005, -117.0652722)"
32,"6600  OSLER STREET, SAN DIEGO","(32.7922271, -117.1755248)"
33,"100  PARK BOULEVARD, SAN DIEGO","(32.7070337, -117.1557395)"
34,"3100  55TH STREET, SAN DIEGO","(32.7390775, -117.07679640000002)"
35,"100  CENTER STREET, SAN DIEGO","(32.737498800000004, -117.1494423)"
36,"8500  TED WILLIAMS PARKWAY, SAN DIEGO","(32.964879700000004, -117.0939673)"
37,"500  ROBINSON AVENUE, SAN DIEGO","(32.7471822, -117.1598147)"
38,"1900  PALM AVENUE, SAN DIEGO","(32.5839055, -117.0912115)"
39,"11900  CONFERENCE WAY, SAN DIEGO","(32.9859126, -117.0781533)"
40,"9200  HILLERY DRIVE, SAN DIEGO","(32.913093100000005, -117.1269957)"
41,"6500  MONTEZUMA ROAD, SAN DIEGO","(32.7693788, -117.0583568)"
42,"5200  GENESEE COVE, SAN DIEGO","(32.8565078, -117.2049187)"
43,"7700  MIRA MESA BOULEVARD, SAN DIEGO","(32.90981, -117.1586794)"
44,"9900  MERCY ROAD, SAN DIEGO","(32.9348782, -117.117712)"
45,"6900  LINDA VISTA ROAD, SAN DIEGO","(32.7835407, -117.1717605)"
46,"11600  RANCHO BERNARDO ROAD, SAN DIEGO","(33.0238871, -117.0820511)"
47,"17900  SAN DIEGUITO ROAD, SAN DIEGO","(33.0041419, -117.163275)"
48,"9100  TOWNE CENTRE DRIVE, SAN DIEGO","(32.869934, -117.207082)"
49,"3300  LINCOLN AVENUE, SAN DIEGO","(32.750374900000004, -117.1225614)"
50,"2900  LINCOLN AVENUE, SAN DIEGO","(32.7503326, -117.1313994)"
51,"6900  ALVARADO ROAD, SAN DIEGO","(32.775904, -117.0508052)"
52,"10200  BLACK MTN ROAD, SAN DIEGO","(32.9027456, -117.1241047)"
53,"0  BALBOA AVENUE, SAN DIEGO","(32.8212692, -117.1599797)"
54,"2200  RIVER RUN DRIVE, SAN DIEGO","(32.779124100000004, -117.1341372)"
55,"7300  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.8333842, -117.1612834)"
56,"3400  DEL MAR HEIGHTS ROAD, SAN DIEGO","(32.95393749999999, -117.2339731)"
57,"2700  K STREET, SAN DIEGO","(32.7084609, -117.1359841)"
58,"3800  VALLEY CENTRE DRIVE, SAN DIEGO","(32.937789, -117.2333244)"
59,"8900  ACTIVITY ROAD, SAN DIEGO","(32.895815, -117.1348952)"
60,"8500  RIO SAN DIEGO DRIVE, SAN DIEGO","(32.7748793, -117.1450898)"
61,"0  OCEAN VIEW , SAN DIEGO","(32.746811300000005, -117.25338)"
62,"200  SAN JACINTO DRIVE, SAN DIEGO","(32.7057029, -117.0828756)"
63,"5500  MONTEZUMA ROAD, SAN DIEGO","(32.7707625, -117.0759513)"
64,"2600  MARKET STREET, SAN DIEGO","(32.7116027, -117.1381332)"
65,"8600  MIRAMAR ROAD, SAN DIEGO","(32.8920832, -117.1387936)"
66,"5800  FAIRMOUNT AVENUE, SAN DIEGO","(32.781298699999994, -117.1013513)"
67,"0  KIKA COURT, SAN DIEGO","(32.9399704, -117.1130844)"
68,"1900  MADISON AVENUE, SAN DIEGO","(32.7609772, -117.1450328)"
69,"1600  GARNET AVENUE, SAN DIEGO","(32.7998425, -117.2407445)"
70,"100  MARKET STREET, SAN DIEGO","(32.7115284, -117.1637744)"
71,"500  33RD STREET, SAN DIEGO","(32.7111506, -117.1224127)"
72,"3900  HEMLOCK STREET, SAN DIEGO","(32.6995969, -117.1103685)"
73,"1200  PICCARD AVENUE, SAN DIEGO","(32.5748778, -117.0498674)"
74,"8000  PORT ROYALE DRIVE, SAN DIEGO","(32.903915399999995, -117.15137)"
75,"7300  PARADISE VALLEY ROAD, SAN DIEGO","(32.6917876, -117.0365544)"
76,"1700  GARNET AVENUE, SAN DIEGO","(32.800201, -117.238991)"
77,"1300  MORENA BOULEVARD, SAN DIEGO","(32.7718928, -117.2023604)"
78,"3900  30TH STREET, SAN DIEGO","(32.7483872, -117.13032959999998)"
79,"3900  05TH AVENUE, SAN DIEGO","(32.7484962, -117.1607941)"
80,"500 W GRAPE STREET, SAN DIEGO","(32.7259718, -117.1671658)"
81,"0  70TH STREET, SAN DIEGO","(32.763516, -117.0467983)"
82,"3400  COLLEGE AVENUE, SAN DIEGO","(32.7422586, -117.0516876)"
83,"7100  FULTON STREET, SAN DIEGO","(32.7901097, -117.16779270000002)"
84,"1400  CAM DE LA REINA , SAN DIEGO","(32.768885600000004, -117.1525551)"
85,"11500  RANCHO BERNARDO ROAD, SAN DIEGO","(33.0245565, -117.084149)"
86,"12000  WORLD TRADE DRIVE, SAN DIEGO","(32.9805938, -117.0753538)"
87,"4700  ROLANDO BOULEVARD, SAN DIEGO","(32.7633696, -117.0564988)"
88,"3500  RUFFIN ROAD, SAN DIEGO","(32.8092919, -117.1191955)"
89,"1300  MISSOURI STREET, SAN DIEGO","(32.8023077, -117.2474732)"
90,"500  PALOMAR AVENUE, SAN DIEGO","(32.8271657, -117.2750063)"
91,"2500  TORREY PINES ROAD, SAN DIEGO","(32.851449, -117.24967209999998)"
92,"10700  VISTA SORRENTO PARKWAY, SAN DIEGO","(32.9005151, -117.2193912)"
93,"0  I-15 NB , SAN DIEGO","(32.708383399999995, -117.1201054)"
94,"6700  EL CAJON BOULEVARD, SAN DIEGO","(32.7685881, -117.0536315)"
95,"0  CHAMOUNE AVENUE, SAN DIEGO","(32.7462693, -117.0966227)"
96,"4800  CASTLE AVENUE, SAN DIEGO","(32.745175800000005, -117.0913782)"
97,"3100  MISSION VILLAGE DRIVE, SAN DIEGO","(32.8001652, -117.1272525)"
98,"0  WIGHTMAN STREET, SAN DIEGO","(32.7477473, -117.0999812)"
99,"2100  ALTA VIEW DRIVE, SAN DIEGO","(32.683056, -117.049454)"
100,"2900  LLOYD STREET, SAN DIEGO","(32.793434600000005, -117.2054132)"
101,"3500  INDIA STREET, SAN DIEGO","(32.738989000000004, -117.1774564)"
102,"6900  PARADISE VALLEY ROAD, SAN DIEGO","(32.689186199999995, -117.0459321)"
