,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lon
0,170082,2017-01-01 00:01:00,935,5500, ,VALERIO,TRAIL, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.962449400000004,-117.2014782
1,170101,2017-01-01 00:01:00,322,6400, ,CRAWFORD,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7898003,-117.0938746
2,170166,2017-01-01 00:01:00,124,8300, ,CAM DEL ORO, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8568988,-117.2568618
3,170218,2017-01-01 00:01:00,325,8100, ,ROYAL GORGE,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8147757,-117.0512292
4,170097,2017-01-01 01:00:00,521,1000, ,11TH,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7157761,-117.15471770000002
5,170220,2017-01-01 01:00:00,524,1000, ,A,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.718876300000005,-117.155663
6,170153,2017-01-01 01:18:00,437,2600, ,RAMFOS,PLACE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.679995299999995,-117.04250259999998
7,170035,2017-01-01 01:53:00,935,3900, ,DE LA VALLE, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.9832079,-117.2267559
8,170044,2017-01-01 01:58:00,115,9100, ,SYDNEY,COURT, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8729365,-117.2021869
9,170042,2017-01-01 02:00:00,122,1600, ,HORNBLEND,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.798875,-117.240545
